I0907 17:51:39.467009   85819 serve.go:43] cloudcode_cli (Jul  2 2024 12:01:58 -0700, cl:648796832 baseline:648796263)
I0907 17:51:39.467067   85819 serve.go:44] Command line: ["/home/kaiser8449/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0907 17:51:39.469499   85819 life_cycle.go:135] Initializing. Architecture: "amd64", Operating system: "linux"
I0907 17:51:39.537000   85819 configuration.go:171] product updateChannel will be used
I0907 17:51:39.537043   85819 configuration.go:568] language thresholds: map[]
I0907 17:51:39.537064   85819 configuration.go:526] dataFileExtensions array: [.csv .tsv .jsonl]
I0907 17:51:39.537089   85819 configuration.go:768] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0010716c1 StopSequences:map[] DataFilePromptLines:0}
I0907 17:51:39.537138   85819 configuration.go:768] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001071711 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0907 17:51:39.537319   85819 configuration.go:251] Configured settings for atlasOpts: {"Project":"arc-ember","LogPrompt":true,"UseTypeoverCache":true,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0907 17:51:39.537333   85819 configuration.go:263] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:50000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 deletionCompletion:true otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0} chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:false enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288}
I0907 17:51:39.537369   85819 configuration.go:265] Configured settings for canCancelRequests: true
I0907 17:51:39.537380   85819 configuration.go:267] Configured settings for contextPromptOpts: &{Endpoint:}
I0907 17:51:39.538935   85819 atlas.go:52] Using gRPC to access Atlas
